input->0100111101000000: district: 0, candidate: 0, tally: 244, tag: 0100
input->0101111101010000: district: 0, candidate: 0, tally: 245, tag: 0101
input->0110111101100000: district: 0, candidate: 0, tally: 246, tag: 0110
input->0111111101110000: district: 0, candidate: 0, tally: 247, tag: 0111
input->1000111110000000: district: 0, candidate: 0, tally: 248, tag: 1000
input->1001111110010000: district: 0, candidate: 0, tally: 249, tag: 1001
input->1010111110100000: district: 0, candidate: 0, tally: 250, tag: 1010
input->1011111110110000: district: 0, candidate: 0, tally: 251, tag: 1011
input->1100111111000000: district: 0, candidate: 0, tally: 252, tag: 1100
input->1101111111010000: district: 0, candidate: 0, tally: 253, tag: 1101
input->1110111111100000: district: 0, candidate: 0, tally: 254, tag: 1110
input->1111111111110000: district: 0, candidate: 0, tally: 255, tag: 1111
input->1110000000000100: district: 0, candidate: 1, tally: 0, tag: 1110
input->1111000000010100: district: 0, candidate: 1, tally: 1, tag: 1111
input->1100000000100100: district: 0, candidate: 1, tally: 2, tag: 1100
input->1101000000110100: district: 0, candidate: 1, tally: 3, tag: 1101
input->1010000001000100: district: 0, candidate: 1, tally: 4, tag: 1010
input->1011000001010100: district: 0, candidate: 1, tally: 5, tag: 1011
input->1000000001100100: district: 0, candidate: 1, tally: 6, tag: 1000
input->1001000001110100: district: 0, candidate: 1, tally: 7, tag: 1001
input->0110000010000100: district: 0, candidate: 1, tally: 8, tag: 0110
input->0111000010010100: district: 0, candidate: 1, tally: 9, tag: 0111
input->0100000010100100: district: 0, candidate: 1, tally: 10, tag: 0100
input->0101000010110100: district: 0, candidate: 1, tally: 11, tag: 0101
input->0010000011000100: district: 0, candidate: 1, tally: 12, tag: 0010
input->0011000011010100: district: 0, candidate: 1, tally: 13, tag: 0011
input->0000000011100100: district: 0, candidate: 1, tally: 14, tag: 0000
input->0001000011110100: district: 0, candidate: 1, tally: 15, tag: 0001
input->1111000100000100: district: 0, candidate: 1, tally: 16, tag: 1111
input->1110000100010100: district: 0, candidate: 1, tally: 17, tag: 1110
input->1101000100100100: district: 0, candidate: 1, tally: 18, tag: 1101
input->1100000100110100: district: 0, candidate: 1, tally: 19, tag: 1100
input->1011000101000100: district: 0, candidate: 1, tally: 20, tag: 1011
input->1010000101010100: district: 0, candidate: 1, tally: 21, tag: 1010
input->1001000101100100: district: 0, candidate: 1, tally: 22, tag: 1001
input->1000000101110100: district: 0, candidate: 1, tally: 23, tag: 1000
input->0111000110000100: district: 0, candidate: 1, tally: 24, tag: 0111
input->0110000110010100: district: 0, candidate: 1, tally: 25, tag: 0110
input->0101000110100100: district: 0, candidate: 1, tally: 26, tag: 0101
input->0100000110110100: district: 0, candidate: 1, tally: 27, tag: 0100
input->0011000111000100: district: 0, candidate: 1, tally: 28, tag: 0011
input->0010000111010100: district: 0, candidate: 1, tally: 29, tag: 0010
input->0001000111100100: district: 0, candidate: 1, tally: 30, tag: 0001
input->0000000111110100: district: 0, candidate: 1, tally: 31, tag: 0000
input->1100001000000100: district: 0, candidate: 1, tally: 32, tag: 1100
input->1101001000010100: district: 0, candidate: 1, tally: 33, tag: 1101
input->1110001000100100: district: 0, candidate: 1, tally: 34, tag: 1110
input->1111001000110100: district: 0, candidate: 1, tally: 35, tag: 1111
input->1000001001000100: district: 0, candidate: 1, tally: 36, tag: 1000
input->1001001001010100: district: 0, candidate: 1, tally: 37, tag: 1001
input->1010001001100100: district: 0, candidate: 1, tally: 38, tag: 1010
input->1011001001110100: district: 0, candidate: 1, tally: 39, tag: 1011
